Disease,Symptom,Solution,Early Detection Symptom
Corn_Common_Rust,Small reddish-brown pustules appear on both sides of the leaves primarily on the lower leaves As the infection progresses these pustules rupture and release rust-colored spores leading to reduced photosynthetic capacity and early leaf senescence,Apply fungicides such as azoxystrobin or mancozeb during the early stages of infection Ensure even coverage of leaves with fungicides Crop rotation and use of rust-resistant corn varieties can help in long-term management,Light yellow spots on leaves especially on the lower surfaces
Corn_Gray_Leaf_Spot,Rectangular grayish-brown lesions running parallel to leaf veins As the disease advances lesions coalesce causing leaf blight and premature death of the foliage reducing grain fill,Use resistant hybrids to minimize the risk Apply foliar fungicides such as strobilurins or triazoles at disease onset Crop rotation and removing infected debris can also help limit the spread,Small pale green to yellow spots forming first on the lower leaves eventually expanding upwards
Corn_Northern_Leaf_Blight,Large cigar-shaped gray-green lesions on leaves primarily on the lower leaves that gradually spread to upper foliage The lesions eventually turn brown and can cause significant leaf tissue destruction reducing yield,Apply fungicides like propiconazole at the first sign of the disease Plant disease-resistant corn varieties and implement crop rotation to reduce inoculum levels,Small elliptical light tan lesions that start on older leaves often accompanied by early leaf drop
Cotton_Alternaria,Brown concentric rings or target-shaped spots develop on leaves primarily in the lower canopy As the disease spreads the leaves turn yellow and fall prematurely leading to defoliation and reduced yield,Use fungicides like mancozeb or chlorothalonil to manage the disease Crop rotation with non-host plants and removing infected debris can reduce disease pressure,Small yellow or pale brown spots forming on the lower leaves
Cotton_Healthy,No visible signs of disease,No action required maintain regular monitoring to ensure early intervention if symptoms develop,No signs of disease
Cotton_Mealybug_Attack,White waxy masses composed of mealybugs appear on leaves stems and even roots Infested plants exhibit leaf curling stunted growth and may develop sooty mold on the honeydew secreted by the insects,Use systemic insecticides like imidacloprid or acetamiprid to manage mealybug populations Biological control using natural predators like ladybugs is also effective,Sticky honeydew on leaves early leaf curling and clusters of small white insects on the stems
Cotton_Potassium_Deficiency,Yellowing of leaf edges that eventually develops into necrotic spots typically on older leaves Severe deficiency leads to leaf curl and premature leaf drop,Apply potassium fertilizers based on soil test results to correct the deficiency Ensure balanced fertilization with appropriate levels of nitrogen phosphorus and potassium,Light discoloration on the edges of older leaves
Cotton_Thrip,Silvery streaks appear on young leaves accompanied by leaf distortion and stunted growth Thrip feeding causes the leaves to appear deformed and curled,Apply insecticides like spinosad or abamectin to control thrips Crop rotation and avoiding planting near thrip-infested fields can minimize infestations,Shiny silvery patches on the youngest leaves with some slight distortion in shape
Cotton_White_Flies,White flying insects cluster on the undersides of leaves They secrete honeydew which leads to the development of black sooty mold blocking sunlight from reaching the leaf surface and reducing photosynthesis,Use insect growth regulators like pyriproxyfen or biological control agents like parasitic wasps to manage whitefly populations Proper sanitation and avoiding over-fertilization can help limit outbreaks,Whiteflies visible on leaf undersides and sticky honeydew spots begin forming
Potato_Early_Blight,Brown spots with concentric rings form primarily on the lower older leaves As the disease progresses the spots expand and cause defoliation reducing tuber size and yield,Apply fungicides like chlorothalonil or copper-based sprays to control the disease Crop rotation and avoiding overhead irrigation can reduce disease pressure,Small dark brown or black spots with a characteristic ring pattern start appearing on the lower leaves
